"x","y","marks"
13,3271,"2"
14,4413,"1"
14,3742,"1"
14,4443,"4"
15,3120,"2"
15,3063,"2"
16,3761,"1"
17,4973,"1"
18,3487,"1"
18,3402,"1"
19,1820,"1"
19,4195,"1"
19,4945,"1"
19,1960,"1"
20,5998,"1"
20,3086,"2"
20,5886,"1"
20,2466,"4"
21,4389,"1"
21,632,"1"
21,2765,"2"
22,2887,"2"
22,2869,"2"
22,2674,"3"
22,2687,"3"
23,4253,"1"
23,2556,"4"
23,4624,"3"
23,2111,"1"
23,2605,"1"
23,2446,"1"
23,3161,"2"
23,4504,"1"
23,3217,"2"
24,4601,"1"
24,1990,"1"
24,1657,"1"
24,4027,"1"
24,927,"1"
24,4908,"3"
25,3680,"1"
25,2641,"1"
25,2810,"2"
26,3864,"1"
26,1882,"1"
26,1801,"1"
26,2331,"4"
26,2400,"1"
26,1456,"1"
26,1724,"1"
26,1928,"1"
27,2484,"4"
28,2512,"0"
28,2909,"2"
28,2282,"0"
29,1846,"1"
29,3134,"2"
29,4059,"1"
30,2121,"1"
30,2163,"1"
30,4157,"1"
32,3647,"1"
32,2090,"1"
32,3315,"2"
32,4285,"3"
32,3742,"1"
32,4421,"1"
33,4364,"1"
33,742,"1"
33,2030,"1"
33,3103,"2"
33,2934,"2"
34,4083,"1"
34,3268,"2"
34,3933,"1"
34,5913,"1"
34,3052,"2"
35,5022,"3"
35,2744,"1"
36,2139,"1"
36,3073,"2"
36,3967,"1"
36,2399,"1"
36,2183,"0"
36,4111,"1"
36,3391,"2"
37,2878,"2"
37,1527,"1"
37,2349,"4"
37,2974,"2"
37,1814,"1"
38,6396,"1"
38,1705,"4"
38,2785,"2"
38,2455,"1"
38,3295,"2"
39,4590,"4"
39,4257,"1"
39,1787,"1"
39,3669,"2"
40,4951,"3"
40,2559,"1"
41,2220,"1"
41,3022,"2"
41,4192,"4"
41,2957,"2"
41,4980,"3"
42,3564,"1"
42,2581,"1"
42,2691,"1"
42,2661,"1"
42,4052,"1"
43,1944,"1"
43,4562,"1"
43,2830,"2"
43,3767,"3"
43,3202,"2"
43,1690,"1"
43,4003,"1"
44,4533,"4"
44,2465,"1"
44,5039,"3"
44,2482,"1"
44,4385,"4"
44,1963,"1"
45,3332,"2"
45,3348,"1"
45,5061,"1"
46,2435,"1"
46,1989,"3"
46,1838,"1"
46,3163,"2"
46,2895,"2"
47,4619,"0"
47,3433,"4"
47,3865,"1"
48,4462,"4"
48,2720,"3"
48,4027,"1"
48,2546,"0"
48,1762,"1"
49,2358,"4"
49,2518,"1"
49,4097,"1"
49,2869,"2"
49,2193,"1"
50,2107,"1"
50,4963,"3"
50,3073,"2"
50,1874,"1"
50,1721,"1"
50,3624,"1"
50,3496,"1"
51,2288,"1"
51,3314,"2"
51,3223,"2"
52,1503,"1"
52,1478,"1"
52,2766,"2"
53,2918,"2"
53,2375,"1"
53,3240,"2"
53,3595,"1"
54,3930,"4"
54,3365,"1"
54,3957,"1"
54,2263,"1"
54,2455,"1"
54,3904,"3"
54,3743,"1"
55,3405,"4"
55,2854,"2"
55,2165,"1"
56,4246,"1"
56,4501,"1"
56,1815,"3"
56,3122,"2"
56,3945,"1"
56,4478,"4"
56,1573,"1"
56,6357,"1"
56,5032,"1"
57,4031,"1"
57,3576,"1"
57,1849,"1"
57,2061,"1"
57,2884,"2"
57,4036,"1"
58,3884,"4"
58,3043,"2"
58,2495,"4"
59,2972,"2"
59,2477,"4"
59,2004,"3"
59,2133,"1"
59,809,"3"
59,2352,"1"
59,4177,"4"
59,6003,"1"
60,2401,"0"
60,4214,"3"
60,4598,"1"
60,3977,"3"
60,3465,"1"
61,4610,"1"
61,1668,"1"
61,3063,"2"
61,2240,"1"
62,1644,"1"
62,4050,"1"
62,4657,"1"
63,3919,"3"
63,4125,"1"
63,3286,"2"
64,4525,"1"
64,1732,"1"
64,1782,"1"
64,2336,"1"
64,2688,"1"
65,4632,"1"
65,2023,"1"
65,2277,"1"
65,4420,"1"
65,2938,"2"
66,3203,"2"
66,2310,"1"
66,2707,"3"
66,3539,"1"
66,2091,"3"
67,4198,"3"
67,1480,"1"
67,2873,"2"
67,4444,"1"
67,2893,"2"
67,2790,"2"
67,2524,"1"
67,4558,"4"
68,3932,"4"
68,3521,"1"
68,1965,"3"
69,5943,"1"
69,2583,"1"
69,3420,"1"
69,2265,"1"
69,2667,"1"
70,3347,"1"
70,3911,"3"
70,3391,"1"
70,3091,"2"
70,2987,"2"
70,4095,"1"
71,3150,"2"
71,5348,"4"
71,3169,"2"
71,2828,"2"
71,3019,"2"
72,1750,"1"
72,1499,"1"
72,2438,"4"
72,4337,"4"
73,2462,"1"
73,4234,"4"
73,2751,"4"
73,2642,"1"
74,4073,"1"
74,1466,"1"
74,2285,"1"
74,2500,"1"
75,2625,"1"
75,2959,"2"
76,2367,"1"
76,3442,"1"
76,4007,"3"
76,2479,"4"
76,2250,"3"
76,3990,"4"
77,1825,"1"
77,5103,"1"
77,3307,"2"
77,2154,"1"
77,1892,"1"
77,3500,"1"
78,4029,"1"
78,2731,"3"
78,2207,"1"
78,3946,"1"
78,3132,"2"
78,4684,"1"
78,2047,"1"
78,1802,"1"
79,3603,"4"
80,4609,"1"
80,1846,"1"
80,4724,"1"
81,2882,"2"
81,3045,"3"
81,1763,"1"
81,2412,"4"
82,2866,"2"
82,3886,"1"
82,2263,"1"
82,4548,"4"
82,4661,"4"
83,3379,"1"
83,3060,"2"
83,2542,"1"
84,3977,"1"
84,3923,"1"
84,2847,"2"
85,1668,"1"
85,3905,"1"
85,4500,"2"
86,3188,"2"
86,2088,"1"
86,2708,"1"
86,2804,"2"
87,4423,"1"
87,1437,"1"
87,4588,"4"
87,2907,"2"
87,2238,"3"
87,3223,"2"
87,2128,"3"
87,3547,"1"
87,3347,"1"
87,3575,"4"
87,4140,"2"
87,4186,"1"
88,1647,"1"
88,2311,"4"
88,1406,"1"
88,3962,"1"
89,2508,"1"
89,3414,"2"
89,4055,"1"
90,3526,"1"
90,2067,"1"
90,4645,"4"
90,2675,"1"
91,4448,"4"
91,2330,"0"
91,3252,"2"
91,1490,"1"
91,2251,"3"
91,4072,"1"
91,2781,"2"
92,2932,"2"
92,1797,"1"
92,5289,"1"
93,2564,"1"
93,3462,"1"
93,2402,"1"
93,1950,"1"
94,3036,"2"
94,3993,"1"
94,4342,"4"
95,4564,"1"
95,3364,"2"
95,2079,"1"
95,5965,"1"
95,1371,"1"
95,2376,"4"
96,2492,"1"
97,4169,"1"
97,3115,"2"
97,4408,"1"
97,1686,"1"
97,3310,"2"
97,3332,"3"
97,1783,"1"
98,2106,"0"
98,4625,"1"
98,3939,"1"
98,2526,"1"
99,1990,"3"
99,2880,"2"
99,3147,"2"
99,2277,"1"
99,2347,"1"
100,2301,"1"
100,1465,"1"
100,2168,"1"
100,3085,"2"
100,3507,"1"
100,3865,"1"
101,3237,"2"
101,3063,"2"
101,3278,"2"
102,3977,"1"
102,1761,"1"
102,3429,"1"
102,4099,"2"
102,2044,"1"
102,4149,"1"
103,3913,"1"
103,3488,"3"
103,4776,"1"
103,2676,"1"
104,3886,"1"
105,1576,"3"
105,2249,"1"
105,3696,"1"
105,2229,"1"
105,3532,"1"
105,1969,"3"
105,4038,"1"
105,2432,"4"
106,1926,"1"
106,3008,"2"
106,4024,"1"
106,3663,"1"
106,1867,"1"
106,1659,"1"
106,2891,"2"
107,4129,"1"
107,1390,"4"
107,2951,"2"
107,2684,"1"
108,4741,"1"
108,2715,"4"
108,2576,"3"
108,2137,"1"
108,2200,"1"
108,1809,"1"
108,2923,"2"
109,2017,"1"
109,2862,"2"
109,2599,"3"
109,4587,"1"
110,2699,"1"
110,4489,"1"
110,1903,"4"
110,3383,"2"
110,2665,"1"
110,2081,"1"
111,3212,"2"
111,4195,"1"
111,2541,"1"
112,2828,"2"
112,4160,"1"
112,2755,"1"
112,4623,"1"
113,3962,"2"
114,1422,"1"
114,2480,"3"
114,3041,"2"
114,3303,"2"
114,4057,"1"
115,1628,"1"
115,3321,"2"
115,2790,"1"
115,1993,"1"
115,3363,"2"
115,3183,"2"
116,4074,"1"
116,2397,"1"
117,2986,"2"
117,2110,"1"
118,2364,"1"
118,4436,"1"
118,4693,"1"
118,3522,"1"
118,3946,"1"
119,4181,"1"
120,3930,"1"
120,4046,"1"
120,3903,"1"
120,2968,"1"
121,2028,"1"
121,3084,"2"
121,2342,"1"
121,4215,"1"
121,4133,"1"
122,2253,"3"
122,3153,"2"
122,3832,"1"
122,3986,"1"
122,3118,"2"
123,3243,"2"
123,4671,"1"
123,3395,"1"
123,2509,"1"
123,3346,"3"
123,3427,"2"
123,4098,"2"
123,4788,"1"
123,2884,"2"
124,2142,"1"
124,2618,"4"
124,2680,"0"
124,2279,"4"
125,2434,"1"
125,4859,"1"
125,4811,"1"
125,2306,"0"
125,3467,"4"
125,3858,"1"
126,3327,"2"
126,2378,"1"
126,2856,"2"
126,4472,"1"
127,4705,"1"
127,2589,"4"
127,1960,"0"
128,4559,"4"
128,2223,"3"
128,3681,"1"
128,4153,"1"
129,1918,"1"
129,4144,"1"
129,4603,"4"
129,4641,"4"
129,2653,"1"
129,4031,"2"
130,2911,"2"
130,2542,"1"
130,2567,"1"
130,2006,"1"
130,3035,"2"
130,3304,"2"
130,3411,"2"
130,2173,"1"
131,3882,"1"
131,4167,"1"
131,3499,"1"
131,1979,"1"
132,4001,"1"
132,3269,"3"
132,3545,"1"
